Player,Team,On-Off
Aaron Gordon,ORL,2.6
Aaron Holiday,IND,5.1
Abdel Nader,OKC,-15.3
Al Horford,BOS,2.7
Al-Farouq Aminu,POR,10.0
Alan Williams,BRK,23.0
Alec Burks,3TM,-5.7
Alex Caruso,LAL,7.4
Alex Len,ATL,1.6
Alex Poythress,ATL,-3.5
Alfonzo McKinnie,GSW,-7.0
Alize Johnson,IND,-4.4
Allen Crabbe,BRK,-0.9
Allonzo Trier,NYK,2.6
Amile Jefferson,ORL,10.1
Amir Johnson,PHI,-8.0
Andre Drummond,DET,10.0
Andre Iguodala,GSW,4.0
Andre Ingram,LAL,15.0
Andrew Bogut,GSW,-3.4
Andrew Harrison,3TM,3.6
Andrew Wiggins,MIN,1.4
Anfernee Simons,POR,-21.7
Ante Žižić,CLE,9.3
Anthony Davis,NOP,8.6
Anthony Tolliver,MIN,-3.4
Antonio Blakeney,CHI,-0.6
Aron Baynes,BOS,3.9
Austin Rivers,2TM,0.3
Avery Bradley,2TM,-3.2
B.J. Johnson,2TM,-8.9
Bam Adebayo,MIA,1.6
Ben McLemore,SAC,-1.8
Ben Simmons,PHI,-1.6
Billy Garrett,NYK,-0.5
Bismack Biyombo,CHO,-6.0
Blake Griffin,DET,2.1
Boban Marjanović,2TM,-2.0
Bobby Portis,2TM,1.6
Bogdan Bogdanović,SAC,0.1
Bojan Bogdanović,IND,-0.5
Bonzie Colson,MIL,-18.3
Brad Wanamaker,BOS,6.6
Bradley Beal,WAS,2.5
Brandon Goodwin,DEN,4.7
Brandon Ingram,LAL,-0.2
Brandon Knight,2TM,-5.2
Brandon Sampson,CHI,-0.6
Brook Lopez,MIL,5.3
Bruce Brown,DET,3.4
Bruno Caboclo,MEM,4.7
Bryn Forbes,SAS,-3.2
Buddy Hield,SAC,1.7
C.J. Miles,2TM,-6.5
C.J. Williams,MIN,-16.7
CJ McCollum,POR,6.1
Caleb Swanigan,2TM,-21.1
Cameron Payne,2TM,-8.0
Cameron Reynolds,MIN,-7.2
Caris LeVert,BRK,0.1
Carmelo Anthony,HOU,-18.1
Cedi Osman,CLE,-7.5
Chandler Hutchison,CHI,3.1
Chandler Parsons,MEM,-2.8
Channing Frye,CLE,-16.2
Chasson Randle,WAS,-2.9
Cheick Diallo,NOP,-3.9
Chimezie Metu,SAS,-5.9
Chris Boucher,TOR,-9.3
Chris Chiozza,HOU,-23.1
Chris Paul,HOU,4.5
Christian Wood,2TM,-10.0
Clint Capela,HOU,2.7
Cody Zeller,CHO,4.1
Collin Sexton,CLE,-8.0
Corey Brewer,2TM,0.7
Cory Joseph,IND,4.8
Courtney Lee,2TM,-2.2
Cristiano Felício,CHI,-0.2
D'Angelo Russell,BRK,0.1
D.J. Augustin,ORL,4.8
D.J. Stephens,MEM,-16.2
D.J. Wilson,MIL,-3.6
Dairis Bertāns,NOP,-15.0
Damian Jones,GSW,-4.8
Damian Lillard,POR,13.7
Damion Lee,GSW,-13.9
Damyean Dotson,NYK,2.4
Daniel Hamilton,ATL,-1.5
Daniel Theis,BOS,4.5
Danilo Gallinari,LAC,1.9
Danny Green,TOR,17.6
Dante Cunningham,SAS,-12.6
Dante Exum,UTA,-1.6
Danuel House Jr.,HOU,7.4
Dario Šarić,2TM,-0.9
Darius Miller,NOP,2.8
Darren Collison,IND,-2.8
Daryl Macon,DAL,-2.8
David Nwaba,CLE,8.4
Davon Reed,IND,14.3
De'Aaron Fox,SAC,5.7
De'Anthony Melton,PHO,1.4
DeAndre Jordan,2TM,-2.2
DeAndre' Bembry,ATL,2.0
DeMar DeRozan,SAS,-5.1
DeMarcus Cousins,GSW,-2.8
DeMarre Carroll,BRK,3.3
DeVaughn Akoon-Purcell,DEN,3.5
Deandre Ayton,PHO,1.8
Delon Wright,2TM,-3.3
Demetrius Jackson,PHI,-15.9
Deng Adel,CLE,1.4
Dennis Schröder,OKC,-0.3
Dennis Smith Jr.,2TM,-0.4
Deonte Burton,OKC,5.3
Derrick Favors,UTA,0.4
Derrick Jones Jr.,MIA,0.3
Derrick Rose,MIN,3.4
Derrick White,SAS,6.0
Devin Booker,PHO,3.9
Devin Harris,DAL,-3.6
Devin Robinson,WAS,-0.5
Devonte' Graham,CHO,-6.4
Dewayne Dedmon,ATL,0.9
Deyonta Davis,ATL,-6.9
Dillon Brooks,MEM,2.9
Dion Waiters,MIA,-2.8
Dirk Nowitzki,DAL,-5.4
Domantas Sabonis,IND,2.9
Donatas Motiejūnas,SAS,-63.9
Donovan Mitchell,UTA,3.9
Donte DiVincenzo,MIL,2.9
Donte Grantham,OKC,-53.1
Dorian Finney-Smith,DAL,-0.8
Doug McDermott,IND,2.0
Dragan Bender,PHO,-0.6
Draymond Green,GSW,7.8
Drew Eubanks,SAS,-13.2
Duncan Robinson,MIA,-11.6
Dusty Hannahs,MEM,-17.4
Dwayne Bacon,CHO,0.1
Dwight Howard,WAS,-7.8
Dwight Powell,DAL,3.1
Dwyane Wade,MIA,-3.8
Dāvis Bertāns,SAS,10.6
Džanan Musa,BRK,7.6
E'Twaun Moore,NOP,1.6
Ed Davis,BRK,6.4
Edmond Sumner,IND,-11.7
Ekpe Udoh,UTA,-10.4
Elfrid Payton,NOP,-1.3
Elie Okobo,PHO,-1.3
Emanuel Terry,2TM,18.7
Emmanuel Mudiay,NYK,-2.9
Enes Freedom,2TM,-1.2
Eric Bledsoe,MIL,5.0
Eric Gordon,HOU,6.0
Eric Moreland,2TM,-18.5
Ersan İlyasova,MIL,0.8
Evan Fournier,ORL,2.3
Evan Turner,POR,-4.7
Frank Jackson,NOP,-5.6
Frank Kaminsky,CHO,1.3
Frank Mason III,SAC,-15.3
Frank Ntilikina,NYK,1.1
Fred VanVleet,TOR,4.1
Furkan Korkmaz,PHI,0.9
Garrett Temple,2TM,-0.2
Gary Clark,HOU,-4.5
Gary Harris,DEN,3.9
Gary Payton II,WAS,27.4
Gary Trent Jr.,POR,-5.5
George Hill,2TM,3.1
George King,PHO,-57.0
Georges Niang,UTA,-11.4
Gerald Green,HOU,-1.3
Giannis Antetokounmpo,MIL,8.8
Glenn Robinson III,DET,-1.3
Goran Dragić,MIA,2.1
Gordon Hayward,BOS,0.0
Gorgui Dieng,MIN,-3.6
Grayson Allen,UTA,-19.3
Greg Monroe,3TM,-13.7
Guerschon Yabusele,BOS,-7.0
Hamidou Diallo,OKC,-11.1
Harrison Barnes,2TM,-0.1
Harry Giles,SAC,-4.6
Hassan Whiteside,MIA,2.7
Haywood Highsmith,PHI,-31.9
Henry Ellenson,2TM,5.0
Ian Clark,NOP,-2.8
Ian Mahinmi,WAS,-0.5
Ike Anigbogu,IND,-27.1
Iman Shumpert,2TM,-2.1
Isaac Bonga,LAL,6.8
Isaac Humphries,ATL,-10.8
Isaiah Briscoe,ORL,1.2
Isaiah Canaan,3TM,-5.6
Isaiah Hartenstein,HOU,3.3
Isaiah Hicks,NYK,2.9
Isaiah Thomas,DEN,-8.4
Ish Smith,DET,4.8
Ivan Rabb,MEM,-4.3
Ivica Zubac,2TM,2.7
J.J. Barea,DAL,5.7
J.P. Macura,CHO,6.9
J.R. Smith,CLE,7.5
JJ Redick,PHI,5.9
JaKarr Sampson,CHI,6.1
JaMychal Green,2TM,-8.2
JaVale McGee,LAL,-4.4
Jabari Parker,2TM,0.4
Jacob Evans,GSW,-14.1
Jae Crowder,UTA,-2.6
Jahlil Okafor,NOP,-5.2
Jake Layman,POR,-2.3
Jakob Poeltl,SAS,3.3
Jalen Brunson,DAL,-2.4
Jalen Jones,CLE,5.2
Jamal Crawford,PHO,-8.9
Jamal Murray,DEN,2.8
James Ennis III,2TM,-5.5
James Harden,HOU,5.5
James Johnson,MIA,-5.8
James Nunnally,2TM,-13.2
Jared Dudley,BRK,2.1
Jared Terrell,MIN,-10.8
Jarell Martin,ORL,4.4
Jaren Jackson Jr.,MEM,-1.0
Jaron Blossomgame,CLE,7.1
Jarred Vanderbilt,DEN,2.3
Jarrett Allen,BRK,-5.3
Jason Smith,3TM,-12.2
Jawun Evans,2TM,-29.8
Jaylen Adams,ATL,0.6
Jaylen Brown,BOS,-3.7
Jaylen Morris,MIL,13.1
Jayson Tatum,BOS,4.6
Jeff Green,WAS,0.6
Jeff Teague,MIN,2.3
Jemerrio Jones,LAL,11.4
Jerami Grant,OKC,5.2
Jeremy Lamb,CHO,4.5
Jeremy Lin,2TM,-4.2
Jerian Grant,ORL,-9.6
Jerome Robinson,LAC,-4.0
Jerryd Bayless,MIN,-14.1
Jevon Carter,MEM,-6.0
Jimmer Fredette,PHO,-18.5
Jimmy Butler,2TM,4.2
Joakim Noah,MEM,5.3
Jodie Meeks,TOR,0.7
Joe Chealey,CHO,-18.7
Joe Harris,BRK,-4.3
Joe Ingles,UTA,6.2
Joel Embiid,PHI,10.5
John Collins,ATL,6.6
John Henson,MIL,-10.6
John Holland,CLE,110.1
John Jenkins,2TM,0.4
John Wall,WAS,-5.2
Johnathan Motley,LAC,-9.0
Johnathan Williams,LAL,10.2
Jon Leuer,DET,-14.5
Jonah Bolden,PHI,-5.2
Jonas Jerebko,GSW,-6.4
Jonas Valančiūnas,2TM,0.3
Jonathan Isaac,ORL,1.3
Jonathon Simmons,2TM,-8.3
Jordan Bell,GSW,-13.8
Jordan Clarkson,CLE,3.8
Jordan Loyd,TOR,-21.7
Jordan McRae,WAS,-0.7
Jordan Sibert,ATL,-49.7
Josh Hart,LAL,3.6
Josh Jackson,PHO,-1.3
Josh Okogie,MIN,1.7
Josh Richardson,MIA,5.1
José Calderón,DET,-16.8
Jrue Holiday,NOP,14.5
Juancho Hernangómez,DEN,-3.6
Julian Washburn,MEM,0.1
Julius Randle,NOP,2.3
Justin Anderson,ATL,0.3
Justin Holiday,2TM,-3.7
Justin Jackson,2TM,0.1
Justin Patton,PHI,-12.5
Justise Winslow,MIA,7.1
Jusuf Nurkić,POR,12.4
Kadeem Allen,NYK,5.5
Kalin Lucas,DET,-27.0
Karl-Anthony Towns,MIN,4.9
Kawhi Leonard,TOR,5.3
Keita Bates-Diop,MIN,-4.3
Kelly Olynyk,MIA,4.3
Kelly Oubre Jr.,2TM,0.7
Kemba Walker,CHO,6.2
Kenneth Faried,2TM,-0.2
Kenrich Williams,NOP,-2.6
Kent Bazemore,ATL,-3.8
Kentavious Caldwell-Pope,LAL,-3.9
Kevin Durant,GSW,16.1
Kevin Huerter,ATL,6.0
Kevin Knox,NYK,-10.8
Kevin Love,CLE,6.7
Kevon Looney,GSW,6.8
Khem Birch,ORL,2.4
Khris Middleton,MIL,3.8
Khyri Thomas,DET,-7.4
Klay Thompson,GSW,0.4
Kobi Simmons,CLE,76.8
Kosta Koufos,SAC,0.1
Kostas Antetokounmpo,DAL,20.4
Kris Dunn,CHI,1.9
Kyle Anderson,MEM,0.1
Kyle Korver,2TM,1.3
Kyle Kuzma,LAL,1.5
Kyle Lowry,TOR,12.2
Kyle O'Quinn,IND,-3.5
Kyrie Irving,BOS,3.3
LaMarcus Aldridge,SAS,-1.8
Lance Stephenson,LAL,-3.5
Lance Thomas,NYK,-3.1
Landry Shamet,2TM,-0.7
Langston Galloway,DET,1.8
Larry Nance Jr.,CLE,1.0
Lauri Markkanen,CHI,4.8
LeBron James,LAL,8.2
Lonnie Walker IV,SAS,-23.4
Lonzo Ball,LAL,0.9
Lorenzo Brown,TOR,-12.4
Lou Williams,LAC,3.9
Luc Mbah a Moute,LAC,11.3
Luka Dončić,DAL,-3.7
Luke Kennard,DET,0.5
Luke Kornet,NYK,6.4
Luol Deng,MIN,14.5
Malachi Richardson,TOR,-13.2
Malcolm Brogdon,MIL,4.5
Malcolm Miller,TOR,-8.5
Malik Beasley,DEN,-1.7
Malik Monk,CHO,-2.7
MarShon Brooks,MEM,-2.7
Marc Gasol,2TM,4.4
Marcin Gortat,LAC,-9.0
Marco Belinelli,SAS,-0.7
Marcus Derrickson,GSW,-12.1
Marcus Morris,BOS,-5.0
Marcus Smart,BOS,0.0
Mario Hezonja,NYK,-0.8
Markelle Fultz,PHI,-4.0
Markieff Morris,2TM,-6.1
Marquese Chriss,2TM,-12.3
Marvin Bagley III,SAC,-3.5
Marvin Williams,CHO,1.7
Mason Plumlee,DEN,-2.2
Matthew Dellavedova,2TM,5.1
Maurice Harkless,POR,6.2
Maxi Kleber,DAL,6.7
Melvin Frazier,ORL,-7.4
Meyers Leonard,POR,-11.7
Michael Beasley,LAL,-5.1
Michael Carter-Williams,2TM,-2.1
Michael Kidd-Gilchrist,CHO,1.3
Mikal Bridges,PHO,4.7
Mike Conley,MEM,6.2
Mike Muscala,2TM,-0.5
Mike Scott,2TM,-0.6
Miles Bridges,CHO,-3.5
Miles Plumlee,ATL,-8.6
Miloš Teodosić,LAC,6.2
Mitch Creek,2TM,1.2
Mitchell Robinson,NYK,3.6
Mo Bamba,ORL,-18.5
Monte Morris,DEN,0.0
Montrezl Harrell,LAC,2.3
Moritz Wagner,LAL,-10.3
Myles Turner,IND,-1.3
Naz Mitrou-Long,UTA,-22.8
Nemanja Bjelica,SAC,5.9
Nenê,HOU,3.4
Nerlens Noel,OKC,-7.5
Nick Young,DEN,-10.4
Nicolas Batum,CHO,2.6
Nik Stauskas,2TM,-14.0
Nikola Jokić,DEN,3.2
Nikola Mirotić,2TM,3.8
Nikola Vučević,ORL,8.3
Noah Vonleh,NYK,2.6
Norman Powell,TOR,-8.2
OG Anunoby,TOR,-12.1
Okaro White,WAS,-20.2
Omari Spellman,ATL,-7.7
Omri Casspi,MEM,3.9
Otto Porter Jr.,2TM,5.1
P.J. Tucker,HOU,-0.9
PJ Dozier,BOS,18.0
Pascal Siakam,TOR,14.4
Pat Connaughton,MIL,-4.8
Patrick Beverley,LAC,6.0
Patrick McCaw,2TM,-10.1
Patrick Patterson,OKC,-11.6
Patty Mills,SAS,5.6
Pau Gasol,2TM,-8.2
Paul George,OKC,16.5
Paul Millsap,DEN,9.2
Quincy Acy,PHO,12.1
Quincy Pondexter,SAS,-5.5
Quinn Cook,GSW,-17.0
R.J. Hunter,BOS,52.1
Rajon Rondo,LAL,-9.6
Raul Neto,UTA,13.8
Rawle Alkins,CHI,2.5
Ray Spalding,2TM,2.3
Raymond Felton,OKC,-1.6
Reggie Bullock,2TM,-0.6
Reggie Jackson,DET,3.2
Richaun Holmes,PHO,3.0
Ricky Rubio,UTA,1.6
Robert Covington,2TM,3.3
Robert Williams,BOS,-10.4
Robin Lopez,CHI,5.9
Rodions Kurucs,BRK,-0.6
Rodney Hood,2TM,-2.6
Rodney McGruder,MIA,-1.4
Ron Baker,2TM,1.1
Rondae Hollis-Jefferson,BRK,0.4
Royce O'Neale,UTA,1.6
Rudy Gay,SAS,3.5
Rudy Gobert,UTA,4.3
Russell Westbrook,OKC,5.0
Ryan Anderson,2TM,-4.1
Ryan Arcidiacono,CHI,4.8
Ryan Broekhoff,DAL,8.5
Salah Mejri,DAL,-5.8
Sam Dekker,2TM,-0.1
Scott Machado,LAL,-1.2
Semi Ojeleye,BOS,3.6
Serge Ibaka,TOR,1.1
Seth Curry,POR,-0.6
Shabazz Napier,BRK,2.0
Shai Gilgeous-Alexander,LAC,-6.4
Shake Milton,PHI,-3.7
Shaquille Harrison,CHI,-2.9
Shaun Livingston,GSW,-4.3
Shelvin Mack,2TM,-9.8
Sindarius Thornwell,LAC,0.7
Skal Labissière,2TM,-6.9
Solomon Hill,NOP,-6.1
Spencer Dinwiddie,BRK,-4.7
Stanley Johnson,2TM,-8.0
Stephen Curry,GSW,16.2
Sterling Brown,MIL,-10.3
Steven Adams,OKC,9.5
Svi Mykhailiuk,2TM,0.3
T.J. Leaf,IND,0.7
T.J. McConnell,PHI,-4.5
T.J. Warren,PHO,1.9
Tahjere McCall,BRK,79.3
Taj Gibson,MIN,-0.1
Taurean Prince,ATL,-3.1
Terrance Ferguson,OKC,0.8
Terrence Jones,HOU,-97.5
Terrence Ross,ORL,-2.0
Terry Rozier,BOS,-9.5
Thabo Sefolosha,UTA,6.6
Thaddeus Young,IND,-0.9
Theo Pinson,BRK,-1.0
Thomas Bryant,WAS,-0.1
Thomas Welsh,DEN,2.8
Thon Maker,2TM,-2.9
Tim Frazier,2TM,-3.2
Tim Hardaway Jr.,2TM,-2.7
Timothé Luwawu-Cabarrot,2TM,-9.4
Tobias Harris,2TM,-2.2
Tomáš Satoranský,WAS,3.4
Tony Bradley,UTA,-27.8
Tony Parker,CHO,1.0
Tony Snell,MIL,-2.4
Torrey Craig,DEN,-0.6
Trae Young,ATL,-2.0
Treveon Graham,BRK,3.3
Trevon Duval,MIL,9.7
Trevor Ariza,2TM,-2.2
Trey Burke,2TM,5.4
Trey Lyles,DEN,-5.5
Tristan Thompson,CLE,-3.6
Troy Brown Jr.,WAS,3.9
Troy Caupain,ORL,22.0
Troy Daniels,PHO,1.6
Troy Williams,SAC,-9.2
Tyler Cavanaugh,UTA,-47.2
Tyler Davis,OKC,-3.1
Tyler Dorsey,2TM,1.1
Tyler Johnson,2TM,-2.2
Tyler Lydon,DEN,-9.7
Tyler Ulis,CHI,8.6
Tyler Zeller,2TM,9.1
Tyreke Evans,IND,-0.8
Tyrone Wallace,LAC,4.5
Tyson Chandler,2TM,2.0
Tyus Jones,MIN,2.8
Udonis Haslem,MIA,-18.8
Victor Oladipo,IND,2.7
Vince Carter,ATL,-0.6
Vince Edwards,HOU,-11.3
Wade Baldwin,POR,-39.4
Walt Lemon Jr.,CHI,0.3
Wayne Ellington,2TM,-0.7
Wayne Selden,2TM,-3.5
Wendell Carter Jr.,CHI,-6.7
Wes Iwundu,ORL,1.4
Wesley Johnson,2TM,-6.1
Wesley Matthews,3TM,-2.9
Will Barton,DEN,-4.8
Willie Cauley-Stein,SAC,3.8
Willy Hernangómez,CHO,-6.7
Wilson Chandler,2TM,3.3
Yante Maten,MIA,8.2
Yogi Ferrell,SAC,-1.4
Yuta Watanabe,MEM,8.3
Zach Collins,POR,-6.0
Zach LaVine,CHI,2.8
Zach Lofton,DET,14.6
Zaza Pachulia,DET,-6.2
Zhaire Smith,PHI,4.2
Zhou Qi,HOU,-38.4
Álex Abrines,OKC,-1.5
Ángel Delgado,LAC,11.4
