,name,height,wingspan
0,Quincy Acy,6' 6.5'',7' 2.75''
1,Harrison Barnes,6' 7'',6' 11.25''
2,Will Barton,6' 5'',6' 9.75''
3,Bradley Beal,6' 3.25'',6' 8''
4,J'Covan Brown,6' 1'',6' 5.25''
5,William Buford,6' 4'',6' 9.5''
6,Jae Crowder,6' 4.75'',6' 9.25''
7,Jared Cunningham,6' 3.5'',6' 6.5''
8,Anthony Davis,6' 9.25'',7' 5.5''
9,Marcus Denmon,6' 2.25'',6' 5''
10,Andre Drummond,6' 9.75'',7' 6.25''
11,Kim English,6' 4.5'',6' 6.5''
12,Festus Ezeli,6' 9.75'',7' 5.75''
13,Drew Gordon,6' 8'',6' 11.5''
14,Draymond Green,6' 5.75'',7' 1.25''
15,JaMychal Green,6' 8'',7' 2.25''
16,Maurice Harkless,6' 7.25'',7' 0''
17,John Henson,6' 9'',7' 5''
18,Tu Holloway,5' 10.5'',6' 5.5''
19,Robbie Hummel,6' 7.25'',6' 8.5''
20,Bernard James,6' 8.75'',7' 3''
21,John Jenkins,6' 3.25'',6' 8.5''
22,Orlando Johnson,6' 3.75'',6' 11.25''
23,Darius Johnson-Odom,6' 1.5'',6' 7''
24,Terrence Jones,6' 8.25'',7' 2.25''
25,Perry Jones,6' 10.25'',7' 1.75''
26,Kevin Jones,6' 6.25'',7' 1.5''
27,Kris Joseph,6' 6'',6' 11''
28,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
29,Jeremy Lamb,6' 4'',6' 11''
30,Doron Lamb,6' 3.25'',6' 6.75''
31,Meyers Leonard,6' 11.75'',7' 3''
32,Damian Lillard,6' 1.75'',6' 7.75''
33,Scott Machado,6' 1'',6' 4''
34,Kendall Marshall,6' 3.25'',6' 5.5''
35,Fab Melo,6' 10.75'',7' 2.5''
36,Khris Middleton,6' 6.75'',6' 10.75''
37,Quincy Miller,6' 8.75'',7' 1.25''
38,Darius Miller,6' 6'',6' 9''
39,Tony Mitchell,6' 5.25'',6' 10''
40,Arnett Moultrie,6' 9.5'',7' 2.25''
41,Kevin Murphy,6' 5'',6' 6.75''
42,Andrew Nicholson,6' 8.5'',7' 4''
43,Kyle O'Quinn,6' 8.5'',7' 4.75''
44,Miles Plumlee,6' 10.5'',7' 0.75''
45,Austin Rivers,6' 3.5'',6' 7.25''
46,Thomas Robinson,6' 7.75'',7' 3.25''
47,Terrence Ross,6' 6'',6' 7.25''
48,Tomas Satoransky,6' 6.5'',6' 7.25''
49,Mike Scott,6' 7.25'',6' 10.75''
50,Henry Sims,6' 10'',7' 4''
51,Jared Sullinger,6' 7.75'',7' 1.25''
52,Jordan Taylor,6' 1'',6' 3''
53,Jeff Taylor,6' 6'',6' 6.25''
54,Tyshawn Taylor,6' 2.75'',6' 6.25''
55,Marquis Teague,6' 1'',6' 7.25''
56,Hollis Thompson,6' 6.75'',6' 9.5''
57,Dion Waiters,6' 2.5'',6' 7.25''
58,Royce White,6' 7'',7' 0''
59,Tony Wroten,6' 4.75'',6' 9''
60,Tyler Zeller,6' 11.25'',7' 0''
61,Mohamed Abukar,6' 8'',6' 9''
62,Mario Boggan,6' 5'',7' 2''
63,Craig Bradshaw,6' 8'',7' 1.5''
64,Corey Brewer,6' 6'',6' 8.25''
65,Aaron Brooks,5' 10'',6' 4''
66,Bobby Brown,5' 11'',6' 4''
67,Russell Carter,6' 3'',6' 8.5''
68,Coleman Collins,6' 8'',7' 2''
69,Mike Conley,5' 11'',6' 5.75''
70,Daequan Cook,6' 3'',6' 8.25''
71,Ryvon Covile,6' 7'',7' 1.25''
72,Javaris Crittenton,6' 3'',6' 5.5''
73,Jermareo Davidson,6' 9'',7' 4''
74,Justin Doellman,6' 8'',6' 8.75''
75,Zabian Dowdell,6' 1'',6' 10''
76,Jared Dudley,6' 5'',6' 7''
77,Kevin Durant,6' 9'',7' 4.75''
78,Rashaun Freeman,6' 6'',6' 11.5''
79,Aaron Gray,7' 0'',7' 3.25''
80,Caleb Green,6' 6'',6' 11.75''
81,Jeff Green,6' 7'',7' 1.25''
82,Taurean Green,5' 11'',6' 2.25''
83,Spencer Hawes,6' 10'',7' 0.5''
84,Brandon Heath,6' 2'',6' 7''
85,Herbert Hill,6' 7'',7' 2.25''
86,Al Horford,6' 8'',7' 0.75''
87,Quinton Hosley,6' 5'',6' 11.25''
88,James Hughes,6' 9'',7' 3''
89,Jeremy Hunt,6' 2'',6' 8.25''
90,Ekene Ibekwe,6' 8'',7' 6''
91,Dominic James,5' 10'',6' 2''
92,Trey Johnson,6' 3'',6' 5''
93,Rashad Jones-Jennings,6' 6'',7' 0''
94,Jared Jordan,6' 0'',6' 0''
95,Coby Karl,6' 3'',6' 11''
96,Antanas Kavaliauskas,6' 9'',6' 10.5''
97,Carl Landry,6' 7'',6' 11''
98,Stephane Lasme,6' 5'',7' 2''
99,Acie Law,6' 2'',6' 6.5''
100,Marko Lekic,6' 9'',7' 1''
101,Ron Lewis,6' 2'',6' 6.5''
102,Cartier Martin,6' 4'',6' 10''
103,Dominic McGuire,6' 7'',6' 10.5''
104,Josh McRoberts,6' 8'',7' 1''
105,Sammy Mejia,6' 5'',6' 11''
106,Brad Newley,6' 5'',6' 8''
107,Demetris Nichols,6' 6'',7' 0.25''
108,Joakim Noah,6' 10'',7' 1.25''
109,Greg Oden,6' 11'',7' 4.25''
110,Ivan Radenovic,6' 9'',6' 11.75''
111,JR Reynolds,6' 0'',6' 3.25''
112,Chris Richard,6' 7'',7' 4.5''
113,Dustin Salisbery,6' 3'',6' 8''
114,Blake Schilb,6' 5'',6' 9''
115,Renaldas Seibutis,6' 4'',6' 8.75''
116,Ramon Sessions,6' 2'',6' 4.25''
117,Mustafa Shakur,6' 3'',6' 5.5''
118,Jason Smith,6' 10.75'',6' 10.75''
119,DJ Strawberry,6' 3.75'',6' 6.5''
120,Rodney Stuckey,6' 3.75'',6' 7.25''
121,Curtis Sumpter,6' 6'',6' 9.5''
122,Yue Sun,6' 7.75'',6' 9''
123,Jamaal Tatum,5' 11.5'',6' 2.5''
124,Reyshawn Terry,6' 6.75'',6' 10''
125,Al Thornton,6' 5.75'',7' 1''
126,Anthony Tolliver,6' 7'',7' 2.5''
127,Ali Traore,6' 8.75'',7' 4''
128,Kyle Visser,6' 10'',6' 11''
129,Darryl Watkins,6' 8.75'',7' 3''
130,Major Wingate,6' 8.5'',7' 4''
131,DaShaun Wood,5' 10.75'',6' 0.75''
132,Brandan Wright,6' 8.75'',7' 3.75''
133,Julian Wright,6' 6.5'',7' 2.25''
134,Avis Wyatt,6' 8.75'',7' 1''
136,Thaddeus Young,6' 5.75'',6' 11.5''
137,Nick Young,6' 5'',7' 0''
138,Quincy Acy,6' 6.5'',7' 2.75''
139,Harrison Barnes,6' 7'',6' 11.25''
140,Will Barton,6' 5'',6' 9.75''
141,Bradley Beal,6' 3.25'',6' 8''
142,J'Covan Brown,6' 1'',6' 5.25''
143,William Buford,6' 4'',6' 9.5''
144,Jae Crowder,6' 4.75'',6' 9.25''
145,Jared Cunningham,6' 3.5'',6' 6.5''
146,Anthony Davis,6' 9.25'',7' 5.5''
147,Marcus Denmon,6' 2.25'',6' 5''
148,Andre Drummond,6' 9.75'',7' 6.25''
149,Kim English,6' 4.5'',6' 6.5''
150,Festus Ezeli,6' 9.75'',7' 5.75''
151,Drew Gordon,6' 8'',6' 11.5''
152,Draymond Green,6' 5.75'',7' 1.25''
153,JaMychal Green,6' 8'',7' 2.25''
154,Maurice Harkless,6' 7.25'',7' 0''
155,John Henson,6' 9'',7' 5''
156,Tu Holloway,5' 10.5'',6' 5.5''
157,Robbie Hummel,6' 7.25'',6' 8.5''
158,Bernard James,6' 8.75'',7' 3''
159,John Jenkins,6' 3.25'',6' 8.5''
160,Orlando Johnson,6' 3.75'',6' 11.25''
161,Darius Johnson-Odom,6' 1.5'',6' 7''
162,Terrence Jones,6' 8.25'',7' 2.25''
163,Perry Jones,6' 10.25'',7' 1.75''
164,Kevin Jones,6' 6.25'',7' 1.5''
165,Kris Joseph,6' 6'',6' 11''
166,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
167,Jeremy Lamb,6' 4'',6' 11''
168,Doron Lamb,6' 3.25'',6' 6.75''
169,Meyers Leonard,6' 11.75'',7' 3''
170,Damian Lillard,6' 1.75'',6' 7.75''
171,Scott Machado,6' 1'',6' 4''
172,Kendall Marshall,6' 3.25'',6' 5.5''
173,Fab Melo,6' 10.75'',7' 2.5''
174,Khris Middleton,6' 6.75'',6' 10.75''
175,Quincy Miller,6' 8.75'',7' 1.25''
176,Darius Miller,6' 6'',6' 9''
177,Tony Mitchell,6' 5.25'',6' 10''
178,Arnett Moultrie,6' 9.5'',7' 2.25''
179,Kevin Murphy,6' 5'',6' 6.75''
180,Andrew Nicholson,6' 8.5'',7' 4''
181,Kyle O'Quinn,6' 8.5'',7' 4.75''
182,Miles Plumlee,6' 10.5'',7' 0.75''
183,Austin Rivers,6' 3.5'',6' 7.25''
184,Thomas Robinson,6' 7.75'',7' 3.25''
185,Terrence Ross,6' 6'',6' 7.25''
186,Tomas Satoransky,6' 6.5'',6' 7.25''
187,Mike Scott,6' 7.25'',6' 10.75''
188,Henry Sims,6' 10'',7' 4''
189,Jared Sullinger,6' 7.75'',7' 1.25''
190,Jordan Taylor,6' 1'',6' 3''
191,Jeff Taylor,6' 6'',6' 6.25''
192,Tyshawn Taylor,6' 2.75'',6' 6.25''
193,Marquis Teague,6' 1'',6' 7.25''
194,Hollis Thompson,6' 6.75'',6' 9.5''
195,Dion Waiters,6' 2.5'',6' 7.25''
196,Royce White,6' 7'',7' 0''
197,Tony Wroten,6' 4.75'',6' 9''
198,Tyler Zeller,6' 11.25'',7' 0''
359,Joe Alexander,6' 7.25'',6' 11.5''
360,Darrell Arthur,6' 7.5'',6' 10.75''
361,D.J. Augustin,5' 10'',6' 3.5''
362,Jerryd Bayless,6' 1.75'',6' 3.5''
363,Michael Beasley,6' 7'',7' 0.25''
364,Ramel Bradley,6' 1.25'',6' 5''
365,Tyrone Brazelton,5' 10'',6' 1.75''
366,Takais Brown,6' 7.25'',6' 10''
367,Keith Brumbaugh,6' 7.5'',6' 7.25''
368,Stanley Burrell,6' 1.5'',6' 6.25''
369,Brian Butch,6' 9.5'',6' 11.25''
370,Jamar Butler,6' 0.25'',6' 4.75''
371,Pat Calathes,6' 8.75'',6' 9.75''
372,Joe Crawford,6' 3'',6' 5.75''
373,Chris Daniels,6' 8.25'',7' 0.5''
374,Joey Dorsey,6' 6.25'',7' 1.75''
375,Marcus Dove,6' 6.75'',6' 11.5''
376,Josh Duncan,6' 8'',6' 11.5''
377,Frank Elegar,6' 7.25'',7' 3.25''
378,Patrick Ewing Jr.,6' 6'',7' 0.25''
379,Gary Forbes,6' 4.5'',6' 11.25''
380,Shan Foster,6' 4'',6' 11.5''
381,J.R. Giddens,6' 4'',6' 11.25''
382,James Gist,6' 7'',7' 4''
383,Vladimir Golubovic,6' 11.25'',7' 2.5''
384,Eric Gordon,6' 2'',6' 9''
385,Kentrell Gransberry,6' 6.75'',6' 10.25''
386,Donte Greene,6' 8.25'',6' 10''
387,Malik Hairston,6' 4.25'',6' 9''
388,DeVon Hardin,6' 9.5'',7' 3''
389,Richard Hendrix,6' 6.75'',7' 3''
390,George Hill,6' 1.25'',6' 9''
391,Kyle Hines,6' 3.75'',7' 1.25''
392,Jiri Hubalek,6' 9.5'',6' 10.75''
393,Lester Hudson,5' 11.75'',6' 8.75''
394,Othello Hunter,6' 6.5'',7' 3''
395,Darnell Jackson,6' 7'',6' 11.25''
396,Shawn James,6' 7.75'',7' 5''
397,Davon Jefferson,6' 5.25'',6' 9.5''
398,Joseph Jones,6' 7'',7' 0.25''
399,DeAndre Jordan,6' 9.75'',7' 6''
400,Sasha Kaun,6' 9'',7' 4''
401,Marcelus Kemp,6' 3'',6' 8.5''
402,Maarty Leunen,6' 7.25'',6' 8''
403,Longar Longar,6' 9'',7' 1.25''
404,Brook Lopez,6' 11.25'',7' 5.5''
405,Kevin Love,6' 7.75'',6' 11.25''
406,Aleks Maric,6' 9.75'',7' 1''
407,O.J. Mayo,6' 3.25'',6' 6''
408,James Mays,6' 6.75'',7' 1.75''
409,Luc Mbah a Moute,6' 5.75'',7' 2.5''
410,JaVale McGee,6' 11'',7' 6''
411,Drew Neitzel,5' 11.75'',6' 2.5''
412,DeMarcus Nelson,6' 1'',6' 10''
413,David Padgett,6' 10.25'',7' 1''
414,Jeremy Pargo,6' 0.5'',6' 5''
415,Trent Plaisted,6' 9.25'',6' 10.5''
416,Quan Prowell,6' 6.75'',6' 10.5''
417,Shaun Pruitt,6' 8.25'',7' 1''
418,Anthony Randolph,6' 9'',7' 3''
419,Charles Rhodes,6' 7.25'',6' 11.25''
420,John Riek,6' 10.5'',7' 8.75''
421,Brian Roberts,6' 0.25'',6' 1.25''
422,Russell Robinson,6' 0.5'',6' 8''
423,Richard Roby,6' 4.25'',6' 9.75''
424,Derrick Rose,6' 1.5'',6' 8''
425,Sean Singletary,5' 11'',6' 4.5''
426,Ronald Steele,6' 0.25'',6' 4.25''
427,Bryce Taylor,6' 2.75'',6' 9''
428,Mike Taylor,6' 0.75'',6' 7.25''
429,Mark Tyndale,6' 2.75'',6' 11''
430,Robert Vaden,6' 3.5'',6' 8''
431,Deron Washington,6' 5.25'',6' 9''
432,Sonny Weems,6' 4'',6' 10''
433,Russell Westbrook,6' 2.25'',6' 7.75''
434,Reggie Williams,6' 3.25'',6' 9.25''
435,Quincy Acy,6' 6.5'',7' 2.75''
436,Harrison Barnes,6' 7'',6' 11.25''
437,Will Barton,6' 5'',6' 9.75''
438,Bradley Beal,6' 3.25'',6' 8''
439,J'Covan Brown,6' 1'',6' 5.25''
440,William Buford,6' 4'',6' 9.5''
441,Jae Crowder,6' 4.75'',6' 9.25''
442,Jared Cunningham,6' 3.5'',6' 6.5''
443,Anthony Davis,6' 9.25'',7' 5.5''
444,Marcus Denmon,6' 2.25'',6' 5''
445,Andre Drummond,6' 9.75'',7' 6.25''
446,Kim English,6' 4.5'',6' 6.5''
447,Festus Ezeli,6' 9.75'',7' 5.75''
448,Drew Gordon,6' 8'',6' 11.5''
449,Draymond Green,6' 5.75'',7' 1.25''
450,JaMychal Green,6' 8'',7' 2.25''
451,Maurice Harkless,6' 7.25'',7' 0''
452,John Henson,6' 9'',7' 5''
453,Tu Holloway,5' 10.5'',6' 5.5''
454,Robbie Hummel,6' 7.25'',6' 8.5''
455,Bernard James,6' 8.75'',7' 3''
456,John Jenkins,6' 3.25'',6' 8.5''
457,Orlando Johnson,6' 3.75'',6' 11.25''
458,Darius Johnson-Odom,6' 1.5'',6' 7''
459,Terrence Jones,6' 8.25'',7' 2.25''
460,Perry Jones,6' 10.25'',7' 1.75''
461,Kevin Jones,6' 6.25'',7' 1.5''
462,Kris Joseph,6' 6'',6' 11''
463,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
464,Jeremy Lamb,6' 4'',6' 11''
465,Doron Lamb,6' 3.25'',6' 6.75''
466,Meyers Leonard,6' 11.75'',7' 3''
467,Damian Lillard,6' 1.75'',6' 7.75''
468,Scott Machado,6' 1'',6' 4''
469,Kendall Marshall,6' 3.25'',6' 5.5''
470,Fab Melo,6' 10.75'',7' 2.5''
471,Khris Middleton,6' 6.75'',6' 10.75''
472,Quincy Miller,6' 8.75'',7' 1.25''
473,Darius Miller,6' 6'',6' 9''
474,Tony Mitchell,6' 5.25'',6' 10''
475,Arnett Moultrie,6' 9.5'',7' 2.25''
476,Kevin Murphy,6' 5'',6' 6.75''
477,Andrew Nicholson,6' 8.5'',7' 4''
478,Kyle O'Quinn,6' 8.5'',7' 4.75''
479,Miles Plumlee,6' 10.5'',7' 0.75''
480,Austin Rivers,6' 3.5'',6' 7.25''
481,Thomas Robinson,6' 7.75'',7' 3.25''
482,Terrence Ross,6' 6'',6' 7.25''
483,Tomas Satoransky,6' 6.5'',6' 7.25''
484,Mike Scott,6' 7.25'',6' 10.75''
485,Henry Sims,6' 10'',7' 4''
486,Jared Sullinger,6' 7.75'',7' 1.25''
487,Jordan Taylor,6' 1'',6' 3''
488,Jeff Taylor,6' 6'',6' 6.25''
489,Tyshawn Taylor,6' 2.75'',6' 6.25''
490,Marquis Teague,6' 1'',6' 7.25''
491,Hollis Thompson,6' 6.75'',6' 9.5''
492,Dion Waiters,6' 2.5'',6' 7.25''
493,Royce White,6' 7'',7' 0''
494,Tony Wroten,6' 4.75'',6' 9''
495,Tyler Zeller,6' 11.25'',7' 0''
496,Alex Acker,6' 3.75'',7' 0''
497,Deji Akindele,6' 9.5'',7' 3''
499,Nemanja Aleksandrov,6' 10'',6' 11''
500,Alan Anderson,6' 4.5'',6' 9.5''
501,Martynas Andriuskevicius,7' 1.25'',6' 11.25''
502,Sean Banks,6' 5.75'',7' 1''
503,Eddie Basden,6' 4.25'',6' 10.25''
504,Mike Bell,6' 8.75'',7' 1.5''
505,Andrew Bogut,6' 11'',7' 3''
506,Dee Brown,5' 11'',6' 2''
507,Will Bynum,5' 10.5'',6' 3.5''
508,Marcus Campbell,6' 10.25'',7' 6''
509,Will Conroy,6' 1'',6' 3''
510,Taylor Coppenrath,6' 7.75'',6' 11.5''
511,Travis Diener,5' 11.75'',5' 11.75''
512,Ike Diogu,6' 6.5'',7' 3.5''
513,Daryl Dorsey,5' 11.25'',5' 11.5''
514,Monta Ellis,6' 2.25'',6' 2.75''
515,Raymond Felton,5' 11.5'',6' 4.25''
516,Rudy Fernandez,6' 4.75'',6' 7.5''
517,D'Or Fischer,6' 9.25'',7' 6''
518,Eddy Fobbs,6' 10.25'',7' 6.75''
519,Sharrod Ford,6' 7.25'',7' 1.5''
520,Channing Frye,6' 9.5'',7' 2.5''
521,Deng Gai,6' 7.75'',7' 4.5''
522,Francisco Garcia,6' 5.75'',6' 10.75''
523,John Gilchrist,6' 1.25'',6' 9.25''
524,Marcin Gortat,6' 11'',7' 3.5''
525,Joey Graham,6' 5.25'',6' 8''
526,Danny Granger,6' 7.5'',7' 1.5''
527,Gerald Green,6' 6'',6' 9.75''
528,Charles Hayes,6' 5.5'',6' 10''
529,Luther Head,6' 2'',6' 5.25''
530,Julius Hodge,6' 6'',7' 0.5''
531,Jared Homan,6' 7.75'',7' 1.25''
532,Ersan Ilyasova,6' 7.75'',7' 1.25''
533,Jarrett Jack,6' 2.5'',6' 7.5''
534,Dwayne Jones,6' 8.5'',7' 2.75''
535,Mindaugas Katelynas,6' 7.5'',6' 11''
536,Jason Klotz,6' 8.5'',6' 10''
537,Carl Krauser,5' 11.5'',6' 5.5''
538,Keith Langford,6' 2.25'',6' 9''
539,David Lee,6' 7.75'',7' 0''
540,David Lucas,6' 6.5'',7' 0''
541,John Lucas III,5' 9.25'',6' 0''
542,Rawle Marshall,6' 4.5'',7' 1''
543,Jason Maxiell,6' 5'',7' 3.25''
544,Sean May,6' 7'',7' 1.25''
545,Rashad McCants,6' 2.75'',6' 10.75''
546,Ivan McFarlin,6' 5.5'',6' 9''
547,Juan Mendez,6' 5.25'',7' 0''
548,Aaron Miles,6' 0'',6' 3.5''
549,Ellis Myles,6' 6'',6' 9.75''
550,Larry O'Bannon,6' 3'',6' 6''
